id,sexe,age,serie,note,niveau,I1,I2,I3,I4,I5,E1,E2,E3,E4,E5,NR,C1,C2,C3,C4,MAT,fiche,qualite
EPE-017,F,25-29,A4,0.5,NA,0,0.25,0.25,0.0,0,0,1,1,1,0,0,0,1,2,1,1,4,Acceptable
EPE-018,H,20-24,D,0.5,NA,0.25,0,0.25,0.0,0,1,1,0,0,0,0,0,1,0,1,0,2,Insuffisante
EPE-019,H,25-29,A4,0.5,NA,0.25,0,0,0.25,0,1,1,0,1,1,0,0,1,1,1,0,3,Insuffisante
EPE-020,H,25-29,C/E,1.0,ECA,0.25,0.25,0,0.5,0,0,0,0,0,1,0,1,2,1,2,1,6,Conforme
EPE-021,H,30 et +,A4,0.75,ECA,0.25,0,0.25,0.0,0.25,0,1,0,0,0,0,2,1,2,2,1,7,Conforme
EPE-022,H,25-29,C/E,1.0,ECA,0.25,0.25,0.25,0.25,0,0,1,0,0,0,0,2,0,0,2,1,4,Acceptable
EPE-023,H,30 et +,A4,0.75,ECA,0.25,0,0.25,0.25,0,1,0,0,0,0,0,0,2,0,1,0,3,Insuffisante
EPE-024,F,20-24,D,1.0,ECA,0,0.25,0.25,0.25,0.25,0,0,1,0,0,0,0,1,0,1,0,2,Insuffisante
EPE-025,H,20-24,A4,1.25,A,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,1,2,2,1,0,6,Conforme
EPE-026,H,25-29,C/E,1.5,A,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0,0,0,2,2,2,0,6,Conforme
EPE-027,H,25-29,D,1.0,ECA,0.25,0.25,0.25,0.25,0,0,1,0,0,0,0,0,1,1,1,1,3,Insuffisante
EPE-028,F,25-29,A4,0.25,NA,0,0,0,0.25,0,0,0,1,1,0,0,0,0,0,1,0,1,Insuffisante
EPE-029,H,25-29,A4,0.75,ECA,0.25,0.25,0,0.0,0.25,0,0,0,0,0,0,2,1,0,1,0,4,Acceptable
EPE-030,H,20-24,D,0.75,ECA,0.25,0.25,0.25,0.0,0,0,1,0,0,0,0,0,1,1,2,0,4,Acceptable
EPE-031,H,25-29,D,0.5,NA,0.25,0,0,0.25,0,1,1,0,0,1,0,1,1,2,1,1,5,Acceptable
EPE-032,H,25-29,D,1.25,A,0.25,0.25,0.25,0.25,0.25,0,1,0,0,0,0,1,2,1,1,0,5,Acceptable
EPE-033,H,20-24,C/E,1.0,ECA,0.25,0.25,0.25,0.25,0,0,0,0,1,0,0,0,2,1,1,0,4,Acceptable
EPE-034,H,25-29,D,1.5,A,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0,0,0,2,0,2,0,4,Acceptable
EPE-035,H,30 et +,D,1.5,A,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0,0,0,2,1,2,0,5,Acceptable
EPE-036,H,30 et +,C/E,1.5,A,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0,0,1,2,2,0,1,5,Acceptable
EPE-037,F,25-29,A4,1.25,A,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,2,1,2,1,1,6,Conforme
EPE-038,H,20-24,C/E,0.5,NA,0.25,0,0,0.0,0.25,1,1,0,0,1,0,1,0,0,2,0,3,Insuffisante
EPE-039,H,25-29,A4,0.5,NA,0.25,0,0,0.25,0,1,0,0,1,1,0,0,1,1,1,0,3,Insuffisante
EPE-040,F,20-24,C/E,0.5,NA,0.25,0.25,0,0.0,0,0,1,0,1,1,0,0,1,0,0,0,1,Insuffisante
EPE-041,F,25-29,A4,0.25,NA,0,0,0,0.25,0,1,1,1,1,1,0,0,1,1,0,0,2,Insuffisante
EPE-042,F,30 et +,A4,0.75,ECA,0.25,0.25,0,0.25,0,0,1,0,1,1,0,1,1,1,1,0,4,Acceptable
EPE-043,H,25-29,D,1.0,ECA,0.25,0.25,0.25,0.0,0.25,0,1,0,0,0,0,1,2,0,1,0,4,Acceptable
EPE-044,H,20-24,C/E,1.0,ECA,0.25,0.25,0.25,0.0,0.25,0,1,0,0,0,0,0,2,0,1,0,3,Insuffisante
EPE-045,F,30 et +,A4,0.0,NA,0,0,0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,0,Insuffisante
EPE-046,H,20-24,D,0.5,NA,0,0,0.25,0.25,0,1,0,1,0,0,0,0,2,2,0,0,4,Acceptable
EPE-047,F,25-29,A4,0.75,ECA,0.25,0,0.25,0.25,0,1,0,0,0,0,0,1,0,1,2,0,4,Acceptable
EPE-048,F,25-29,A4,0.0,NA,0,0,0,0.0,0,1,1,1,1,1,1,0,0,0,1,0,1,Insuffisante
EPE-049,H,25-29,A4,0.25,NA,0.25,0,0,0.0,0,0,1,0,1,1,1,0,0,0,1,0,1,Insuffisante
EPE-050,H,20-24,A4,1.25,A,0.25,0.25,0.25,0.5,0,0,0,0,1,0,0,0,2,1,2,0,5,Acceptable
EPE-051,H,25-29,D,1.25,A,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,1,2,1,1,4,Acceptable
EPE-052,F,25-29,D,0.75,ECA,0,0.25,0,0.25,0.25,0,0,1,0,1,0,0,1,1,1,0,3,Insuffisante
EPE-053,H,20-24,D,1.25,A,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,1,0,2,0,3,Insuffisante
EPE-054,H,30 et +,D,1.25,A,0.25,0,0.25,0.5,0.25,1,0,0,0,0,0,0,0,0,2,0,2,Insuffisante
EPE-055,H,20-24,D,1.0,ECA,0.25,0,0.25,0.25,0.25,1,0,0,0,0,0,0,2,0,1,0,3,Insuffisante
EPE-056,F,25-29,A4,0.5,NA,0.25,0,0,0.25,0,1,0,0,1,1,0,0,1,0,2,0,3,Insuffisante
EPE-057,H,25-29,A4,0.25,NA,0,0,0,0.0,0.25,0,1,1,0,0,0,1,1,1,2,1,5,Acceptable
EPE-058,H,20-24,D,0.5,NA,0,0.25,0.25,0.0,0,0,1,1,0,0,0,0,1,1,0,0,2,Insuffisante
EPE-059,F,20-24,A4,1.25,A,0.25,0,0.25,0.5,0.25,1,0,0,0,0,0,0,1,1,1,1,3,Insuffisante
EPE-060,H,20-24,A4,0.0,NA,0,0,0,0.0,0,1,1,1,1,1,1,2,0,0,2,0,4,Acceptable
EPE-061,H,20-24,A4,0.75,ECA,0.25,0,0.25,0.25,0,1,1,0,1,0,0,0,0,1,0,1,1,Insuffisante
EPE-062,H,30 et +,D,1.0,ECA,0.25,0.25,0,0.25,0.25,0,1,0,0,1,0,0,2,0,2,0,4,Acceptable
EPE-063,H,25-29,D,1.25,A,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,2,0,1,0,3,Insuffisante
EPE-064,H,25-29,D,1.0,ECA,0.25,0.25,0.25,0.25,0,0,1,0,1,0,0,0,1,0,0,0,1,Insuffisante
EPE-065,F,20-24,D,1.25,A,0.25,0.25,0.25,0.5,0,0,0,0,1,0,0,0,2,0,1,0,3,Insuffisante
EPE-066,H,20-24,A4,0.25,NA,0.25,0,0,0.0,0,1,1,0,1,1,1,0,0,0,0,0,0,Insuffisante
EPE-067,F,25-29,A4,0.75,ECA,0.25,0.25,0.25,0.0,0,0,0,0,0,0,0,0,1,0,1,0,2,Insuffisante
EPE-068,F,30 et +,A4,0.5,NA,0.25,0,0,0.25,0,1,1,0,0,1,0,2,1,0,0,1,3,Insuffisante
EPE-069,F,25-29,D,1.0,ECA,0.25,0.25,0.25,0.25,0,0,1,0,1,0,0,1,1,1,2,1,5,Acceptable
EPE-070,H,20-24,A4,0.75,ECA,0.25,0,0.25,0.25,0,1,0,0,1,0,0,0,0,0,2,0,2,Insuffisante
EPE-071,H,25-29,A4,0.75,ECA,0.25,0,0,0.5,0,1,0,0,0,0,0,2,2,1,0,1,5,Acceptable
EPE-072,F,30 et +,A4,0.75,ECA,0.25,0.25,0,0.0,0.25,0,0,0,0,1,0,0,2,0,0,0,2,Insuffisante
EPE-073,H,30 et +,D,1.0,ECA,0.25,0.25,0.25,0.0,0.25,0,0,0,0,0,0,0,2,0,1,0,3,Insuffisante
EPE-074,F,30 et +,A4,0.75,ECA,0.25,0.25,0,0.0,0.25,0,1,0,0,1,0,0,0,0,1,0,1,Insuffisante
EPE-075,H,20-24,A4,0.75,ECA,0.25,0,0.25,0.0,0.25,1,1,0,0,0,0,0,1,1,1,1,3,Insuffisante
EPE-076,F,25-29,C/E,1.5,A,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0,0,0,2,0,1,0,3,Insuffisante
EPE-077,H,25-29,D,0.5,NA,0,0,0.25,0.0,0.25,1,1,1,0,0,0,0,1,2,2,0,5,Acceptable
EPE-078,H,25-29,D,0.5,NA,0.25,0,0,0.0,0.25,1,1,0,0,1,0,2,1,1,0,1,4,Acceptable
EPE-079,H,25-29,D,0.75,ECA,0.25,0.25,0.25,0.0,0,0,0,0,0,0,0,0,1,2,2,0,5,Acceptable
EPE-080,H,25-29,A4,0.25,NA,0,0,0.25,0.0,0,1,0,1,1,0,1,2,1,0,1,0,4,Acceptable
EPE-081,H,20-24,D,0.5,NA,0.25,0,0.25,0.0,0,1,1,0,1,0,0,0,2,0,1,0,3,Insuffisante
EPE-082,F,20-24,D,1.25,A,0.25,0.25,0,0.5,0.25,0,0,0,0,1,0,0,2,1,2,1,5,Acceptable
EPE-083,F,20-24,D,0.5,NA,0.25,0,0,0.0,0.25,1,1,0,0,1,0,0,1,1,1,1,3,Insuffisante
EPE-084,H,25-29,D,0.5,NA,0,0,0.25,0.0,0.25,1,1,1,0,0,0,2,0,1,1,1,4,Acceptable
EPE-085,H,20-24,A4,0.25,NA,0,0,0,0.25,0,1,0,1,1,1,0,0,1,1,2,0,4,Acceptable
EPE-086,H,25-29,D,1.25,A,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,2,1,1,0,4,Acceptable
EPE-087,H,25-29,A4,0.25,NA,0,0,0,0.25,0,1,0,0,1,1,0,0,1,0,2,0,3,Insuffisante
EPE-088,H,25-29,A4,0.5,NA,0.25,0.25,0,0.0,0,0,1,0,0,1,0,1,1,0,1,1,3,Insuffisante
EPE-089,F,25-29,D,1.0,ECA,0.25,0,0.25,0.25,0.25,1,1,0,0,0,0,0,2,1,0,0,3,Insuffisante
EPE-090,F,20-24,A4,0.25,NA,0,0,0.25,0.0,0,1,1,1,0,0,0,0,1,0,0,0,1,Insuffisante
EPE-091,F,25-29,A4,0.75,ECA,0,0.25,0.25,0.0,0.25,0,0,1,0,0,0,1,1,0,1,0,3,Insuffisante
EPE-092,H,30 et +,C/E,1.5,A,0.25,0.25,0.25,0.5,0.25,0,0,0,0,0,0,1,1,2,2,1,6,Conforme
EPE-093,F,20-24,D,1.25,A,0.25,0.25,0.25,0.5,0,0,0,0,1,0,0,1,1,1,1,1,4,Acceptable
EPE-094,F,20-24,A4,0.75,ECA,0.25,0,0.25,0.0,0.25,1,0,0,0,0,0,0,2,0,1,0,3,Insuffisante
EPE-095,F,30 et +,A4,0.0,NA,0,0,0,0.0,0,1,1,1,1,1,0,0,1,1,0,0,2,Insuffisante
EPE-096,F,25-29,A4,0.5,NA,0.25,0,0.25,0.0,0,1,1,0,1,0,0,0,1,0,2,0,3,Insuffisante
EPE-097,H,30 et +,A4,0.75,ECA,0.25,0.25,0.25,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,Insuffisante
EPE-098,F,25-29,A4,0.5,NA,0.25,0.25,0,0.0,0,0,1,0,1,1,0,0,1,1,1,0,3,Insuffisante
EPE-099,F,20-24,A4,0.75,ECA,0.25,0.25,0,0.0,0.25,0,1,0,0,0,0,0,1,0,1,0,2,Insuffisante
EPE-100,F,30 et +,C/E,1.0,ECA,0.25,0.25,0.25,0.0,0.25,0,1,0,0,0,0,0,2,1,1,0,4,Acceptable
